pop1,pop2,pop3
187,298,131
180,141,149
100,180,177
197,181,125
175,167,111
169,222,200
168,202,180
170,154,202
149,136,107
121,126,221
149,139,145
191,183,107
173,149,193
137,129,122
167,185,182
154,137,126
169,133,163
166,149,178
155,188,201
163,197,134
113,203,185
160,129,148
202,154,163
188,173,130
154,149,217
137,183,181
202,127,172
104,166,186
220,128,126
171,203,149
165,156,186
156,158,107
162,136,190
140,124,145
143,146,159
187,171,127
161,146,168
150,181,145
190,148,108
197,140,204
170,164,173
125,152,149
181,156,190
120,127,204
171,145,199
126,161,156
133,208,159
205,168,210
138,131,115
202,212,207
157,168,150
165,140,122
163,165,147
203,132,202
172,152,209
179,132,118
107,158,107
207,135,126
147,140,166
198,183,157
193,171,116
130,151,155
168,141,192
80,144,183
183,136,138
121,159,137
152,165,119
159,178,162
154,126,138
183,175,131
81,163,177
128,135,214
131,140,151
201,172,184
160,174,180
132,177,116
122,152,125
209,144,126
246,136,145
152,173,190
116,175,151
196,136,220
189,165,172
144,168,179
133,184,217
212,141,127
174,180,200
147,209,201
173,153,209
218,193,220
161,126,199
258,166,163
203,150,126
161,126,221
95,292,157
219,125,170
151,128,131
114,196,186
122,170,142
188,137,203
200,145,170
111,145,173
127,135,166
196,203,137
104,264,145
128,290,129
164,157,177
182,150,187
178,157,121
141,307,108
139,162,128
159,142,119
187,194,126
161,156,134
192,130,204
147,161,192
190,141,115
224,131,107
189,165,205
188,183,171
113,174,185
142,261,180
142,163,214
153,169,219
202,131,138
144,193,123
177,155,171
214,161,139
135,142,203
193,149,154
169,138,125
86,192,132
199,155,214
160,240,127
153,146,205
194,157,165
225,154,172
225,256,138
139,255,179
222,134,119
130,156,210
104,140,207
242,190,138
177,135,129
176,146,108
163,133,150
146,136,173
181,191,123
141,161,144
221,203,170
177,184,216
187,240,214
157,177,135
181,171,162
173,170,190
161,205,207
194,231,178
182,133,132
178,127,183
155,156,134
163,137,142
121,144,169
152,169,120
195,170,180
177,172,206
226,143,130
157,265,171
136,156,145
203,163,189
117,126,164
137,189,203
194,158,200
161,175,125
156,139,163
163,184,207
187,158,137
182,128,145
228,251,140
184,162,196
205,145,223
178,176,212
170,184,209
108,152,129
228,167,161
160,171,126
164,129,221
213,152,222
119,139,186
144,159,205
179,278,169
166,224,114
161,275,210
139,136,145
150,167,188
142,157,205
109,167,151
97,149,197
123,149,199
183,173,167
87,145,199
231,136,171
135,245,216
82,158,141
175,252,224
159,136,213
106,147,178
133,146,189
189,150,119
217,141,177
160,125,124
158,128,212
170,124,121
246,182,110
171,144,194
123,151,136
172,141,142
142,127,150
98,138,149
140,165,148
273,154,122
162,179,135
205,212,145
144,134,179
241,207,184
183,143,153
159,184,220
117,172,107
242,193,209
181,149,141
216,157,182
226,145,197
185,174,127
202,150,190
115,209,174
171,135,147
141,175,201
186,178,150
191,145,192
137,174,199
196,201,227
123,138,135
158,156,189
229,166,158
201,144,140
148,165,181
168,136,124
134,192,144
135,137,136
153,153,210
171,181,143
187,223,134
183,154,144
158,153,204
181,141,204
162,199,138
189,208,203
166,136,171
116,149,152
203,145,110
190,176,208
156,215,184
107,138,180
164,141,139
232,138,218
188,166,221
118,146,109
161,154,155
235,153,164
123,216,138
169,135,112
127,231,152
186,149,197
136,179,135
113,238,214
141,165,172
107,175,144
212,141,131
193,131,150
156,125,180
156,163,209
143,164,134
179,144,127
200,172,154
217,244,173
224,178,195
132,131,210
174,160,209
110,256,189
159,270,220
185,160,188
177,153,138
182,235,208
141,127,174
103,173,109
156,268,206
130,128,141
192,137,184
156,168,192
201,181,169
137,179,165
168,156,129
152,135,132
199,135,152
222,149,146
185,132,218
166,201,110
163,206,119
128,131,119
162,154,205
113,195,224
140,165,115
196,137,130
205,127,146
107,183,157
130,153,128
139,266,212
162,163,136
112,278,202
128,181,173
107,138,156
173,152,124
175,234,171
199,131,221
150,149,193
152,131,214
130,191,189
139,149,108
170,134,186
151,204,173
152,169,142
137,134,199
202,125,170
224,189,141
210,175,198
204,211,218
123,164,205
157,193,195
158,186,183
169,171,160
182,171,166
114,137,109
164,174,149
134,170,171
106,125,199
189,167,131
186,190,205
152,166,110
140,196,164
169,220,183
193,238,156
188,180,191
135,193,187
195,130,217
186,140,113
114,150,118
189,153,180
185,144,108
124,254,202
156,167,159
189,181,195
211,219,190
136,143,156
218,248,128
138,255,148
177,146,164
116,221,145
110,153,116
189,147,146
186,156,221
118,144,222
186,143,166
156,168,191
201,133,180
178,140,159
212,191,168
167,143,136
173,335,133
174,180,225
175,170,134
216,180,220
164,186,136
172,174,198
107,141,110
116,132,139
219,176,133
162,222,148
168,180,140
222,206,190
148,195,209
188,166,118
196,230,135
203,158,170
172,130,141
235,129,125
180,237,158
220,129,223
176,127,173
118,150,147
192,205,135
160,185,136
179,160,214
154,147,220
122,259,160
161,134,197
160,152,151
154,170,178
201,230,214
206,166,150
161,136,155
149,225,210
99,144,226
191,208,170
161,164,223
147,141,110
